mall,building,latitude,longitude
100 AM,100 AM,1.27458821795426,103.84347073661
313@Somerset,313 @ SOMERSET,1.3010144,103.8383607
Aperia,APERIA,1.3097113,103.8643265
Balestier Hill Shopping Centre,BALESTIER 288,1.32297698121569,103.852811354547
Bugis Cube,BUGIS MRT STATION,1.30026468984101,103.855614760658
Bugis Junction,BUGIS MRT STATION,1.30026468984101,103.855614760658
Bugis+,BUGIS MRT STATION,1.30026468984101,103.855614760658
Capitol Piazza,CAPITOL BUILDING,1.29344480207133,103.85153211558
Cathay Cineleisure Orchard,CATHAY CINELEISURE ORCHARD,1.30152101873533,103.836429655016
Clarke Quay Central,CLARKE QUAY,1.29044567334673,103.845688049938
The Centrepoint,THE INGLEWOOD,1.36117756932655,103.830439254659
City Square Mall,CITY SQUARE MALL,1.31142103107683,103.856624019991
City Gate Mall,CITY GATE,1.30231590504573,103.862331661034
CityLink Mall,CITYLINK MALL,1.2927777312893,103.854173501417
Duo,DUO GALLERIA,1.2995344,103.8584017
Far East Plaza,FAR EAST PLAZA,1.30717698071189,103.833792932243
Funan,FUNAN,1.2913476,103.8499898
Great World City,CITY HALL MRT STATION EXIT B,1.29310853308826,103.851951129481
[1],DJITSUN MALL BEDOK,1.32611970329469,103.929554495615
HDB Hub,HDB CENTRE OF BUILDING RESEARCH,1.45428714079221,103.800262079753
Holland Village Shopping Mall,HOLLAND VILLAGE,1.3111480617383,103.795003427542
ION Orchard,ION ORCHARD,1.30397974144505,103.832032328465
Junction 8,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
[2],DJIT SUN MALL,1.37286217975215,103.847644977493
Liat Towers,LIAT TOWERS,1.30508722710852,103.830722581168
Lucky Plaza,LUCKY COURT,1.31848306326728,103.941514246701
Marina Bay Sands,MARINA BAY FIRE STATION,1.27486187654763,103.849094342097
The Shoppes at Marina Bay Sands,MARINA BAY FIRE STATION,1.27486187654763,103.849094342097
Marina Bay Link Mall,GROUND PLAZA (MARINA BAY LINK MALL),1.27992126239604,103.854773147641
Marina Square,MARINA BAY FIRE STATION,1.27486187654763,103.849094342097
Millenia Walk,MILLENIA TOWER,1.29266808080051,103.860290098461
Mustafa Shopping Centre,ANCHORPOINT SHOPPING CENTRE,1.28893477974497,103.805607779399
Ngee Ann City,NASCANS NGEE ANN SCC,1.30553224180437,103.917570005713
One Holland Village,DAKOTA ONE,1.3100925249631,103.886883217388
Orchard Central,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Orchard Gateway,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Orchard Plaza,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Midpoint Orchard,MIDPOINT ORCHARD,1.30178778502846,103.838659766022
Palais Renaissance,PALAIS RENAISSANCE,1.30665484543191,103.829588045188
People's Park Centre,OG PEOPLE'S PARK,1.28525188159823,103.843168447239
People's Park Complex,OG PEOPLE'S PARK,1.28525188159823,103.843168447239
Plaza Singapura,GOLDHILL PLAZA,1.31782919793186,103.842889167307
Raffles City,SUNTEC CITY MALL,1.29350132535558,103.857307495824
Scotts Square,15 SCOTTS,1.30788492696723,103.83273062786
Shaw House and Centre,FORMER CONVENT OF THE HOLY INFANT JESUS CHAPEL AND CALDWELL HOUSE,1.29540257575749,103.852342631262
Sim Lim Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Singapore Shopping Centre,ANCHORPOINT SHOPPING CENTRE,1.28893477974497,103.805607779399
The South Beach,MARINA SOUTH PIER MRT STATION EXIT A,1.27067523469027,103.862280576826
Square 2,CITY SQUARE MALL,1.31142103107683,103.856624019991
Sunshine Plaza,SUNSHINE COURT,1.37706072838072,103.737985078061
Suntec City,SUNTEC CITY MALL,1.29593189477195,103.859014406736
Tanglin Mall,TANGLIN MALL,1.30484344196915,103.823852794772
Tanjong Pagar Centre,ICA TANJONG PAGAR SCANNING STATION,1.27179916703301,103.841115522006
Tekka Centre,LITTLE INDIA BUS TERMINAL,1.30758742098946,103.849847643273
The Adelphi,THE INGLEWOOD,1.36117756932655,103.830439254659
The Paragon,THE INGLEWOOD,1.36117756932655,103.830439254659
Tiong Bahru Plaza,SHELL TIONG BAHRU,1.2883742531214,103.81951732881
The Poiz,THE INGLEWOOD,1.36117756932655,103.830439254659
Thomson Plaza,THOMSON RIDGE,1.35230646793295,103.834323056184
United Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Thomson V,THOMSON RIDGE,1.35230646793295,103.834323056184
